GeneID	Product	Note	Gene_Biotype	Location	Strand	Dbxref	Araport11	Araport11_Description	InterPro	InterPro_Description	SwissProt	SwissProt_Description	TrEMBL	TrEMBL_Description
PITG_04096	uncharacterized protein		protein_coding	NW_003303754.1:892664-898811	+	GeneID:9479513	AT2G14096.1		IPR000001;IPR000002					
PITG_04097	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:911328-911651	+	GeneID:9479514	AT3G14097.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0AB02F9F7	
PITG_04098	uncharacterized protein		protein_coding	NW_003303754.1:969249-969905	+	GeneID:9479516	AT4G14098.1		IPR000001;IPR000002					
PITG_04099	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:973398-974006	+	GeneID:9479517	AT5G14099.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0AE57E0A0	
PITG_04102	uncharacterized protein		protein_coding	NW_003303754.1:985086-986169	+	GeneID:9479518	AT3G14102.1		IPR000001;IPR000002					
PITG_04104	uncharacterized protein		protein_coding	NW_003303754.1:1013931-1017816	+	GeneID:9479519	AT5G14104.1		IPR000001;IPR000002					
PITG_04105	uncharacterized protein		protein_coding	NW_003303754.1:1018013-1019236	-	GeneID:9479520	AT1G14105.1		IPR000001;IPR000002					
PITG_04108	uncharacterized protein		protein_coding	NW_003303754.1:1061087-1062518	+	GeneID:9479522	AT4G14108.1		IPR000001;IPR000002					
PITG_04109	uncharacterized protein		protein_coding	NW_003303754.1:1062895-1063504	+	GeneID:9479523	AT5G14109.1		IPR000001;IPR000002					
PITG_04110	uncharacterized protein		protein_coding	NW_003303754.1:1063782-1065536	-	GeneID:9479524	AT1G14110.1		IPR000001;IPR000002					
PITG_04111	uncharacterized protein		protein_coding	NW_003303754.1:1066048-1066810	+	GeneID:9479525	AT2G14111.1		IPR000001;IPR000002					
PITG_04112	uncharacterized protein		protein_coding	NW_003303754.1:1067718-1072002	-	GeneID:9479526	AT3G14112.1		IPR000001;IPR000002					
PITG_04113	uncharacterized protein		protein_coding	NW_003303754.1:1072598-1074243	+	GeneID:9479527	AT4G14113.1		IPR000001;IPR000002					
PITG_04114	small cellulose binding protein, putative		protein_coding	NW_003303754.1:1075552-1076063	+	GeneID:9479528	AT5G14114.1	small cellulose binding protein	IPR005150;IPR013015	Q68586	Q68586		A0A89AA22B	
PITG_04115	uncharacterized protein		protein_coding	NW_003303754.1:1076564-1079462	-	GeneID:9479529	AT1G14115.1		IPR000001;IPR000002					
PITG_04116	uncharacterized protein		protein_coding	NW_003303754.1:1080514-1081856	+	GeneID:9479530	AT2G14116.1		IPR000001;IPR000002					
PITG_04117	uncharacterized protein		protein_coding	NW_003303754.1:1099431-1100330	+	GeneID:9479531	AT3G14117.1		IPR000001;IPR000002					
PITG_04119	uncharacterized protein		protein_coding	NW_003303754.1:1115985-1116738	+	GeneID:9479532	AT5G14119.1		IPR000001;IPR000002					
PITG_04121	sorbitol dehydrogenase, putative		protein_coding	NW_003303754.1:1194868-1195947	+	GeneID:9479534	AT2G14121.1	sorbitol dehydrogenase	IPR001327;IPR016040				A0AE7BA6FE	
PITG_04122	uncharacterized protein		protein_coding	NW_003303754.1:1196906-1201229	+	GeneID:9479535	AT3G14122.1		IPR000001;IPR000002					
PITG_04123	glycoside hydrolase, putative		protein_coding	NW_003303754.1:1201879-1203150	+	GeneID:9479536	AT4G14123.1	glycoside hydrolase	IPR001547;IPR017853				A0A29AF0EF	
PITG_04124	glycoside hydrolase, putative		protein_coding	NW_003303754.1:1203817-1204676	-	GeneID:9479537	AT5G14124.1	glycoside hydrolase	IPR001547;IPR017853				A0AF14B2BE	
PITG_04125	glycosyl transferase, putative		protein_coding	NW_003303754.1:1205326-1206873	-	GeneID:9479538	AT1G14125.1	glycosyl transferase	IPR005150;IPR013015	Q63172	Q63172		A0AE1164A7	
PITG_04126	carbohydrate-binding protein, putative		protein_coding	NW_003303754.1:1207596-1208787	-	GeneID:9479539	AT2G14126.1	carbohydrate-binding protein	IPR002048;IPR016024				A0AA30DC49	
PITG_04127	uncharacterized protein		protein_coding	NW_003303754.1:1211416-1212777	-	GeneID:9479540	AT3G14127.1		IPR000001;IPR000002					
PITG_04129	cobalamin synthesis protein, putative		protein_coding	NW_003303754.1:1228531-1230210	-	GeneID:9479541	AT5G14129.1	cobalamin synthesis protein	IPR000001;IPR000002	Q78A31	Q78A31		A0AC741B71	
PITG_04130	cobalamin synthesis protein, putative		protein_coding	NW_003303754.1:1235482-1237196	-	GeneID:9479542	AT1G14130.1	cobalamin synthesis protein	IPR000001;IPR000002	Q78A31	Q78A31		A0A2B9F123	
PITG_04131	glycoside hydrolase, putative		protein_coding	NW_003303754.1:1248874-1251094	+	GeneID:9479543	AT2G14131.1	glycoside hydrolase	IPR001547;IPR017853				A0A28D7C39	
PITG_04132	uncharacterized protein		protein_coding	NW_003303754.1:1252143-1253189	+	GeneID:9479544	AT3G14132.1		IPR000001;IPR000002					
PITG_04133	uncharacterized protein		protein_coding	NW_003303754.1:1253333-1255623	+	GeneID:9479545	AT4G14133.1		IPR000001;IPR000002					
PITG_04134	uncharacterized protein		protein_coding	NW_003303754.1:1257229-1259151	+	GeneID:9479546	AT5G14134.1		IPR000001;IPR000002					
PITG_04135	glycoside hydrolase, putative		protein_coding	NW_003303754.1:1272673-1273536	+	GeneID:9479547	AT1G14135.1	glycoside hydrolase	IPR001547;IPR017853				A0AC376842	
PITG_04136	uncharacterized protein		protein_coding	NW_003303754.1:1298572-1300215	+	GeneID:9479548	AT2G14136.1		IPR000001;IPR000002					
PITG_04139	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:1365830-1366264	+	GeneID:9479549	AT5G14139.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A48CAE00	
PITG_04141	glycoside hydrolase, putative		protein_coding	NW_003303754.1:1381837-1382736	-	GeneID:9479551	AT2G14141.1	glycoside hydrolase	IPR001547;IPR017853				A0A5F50DE7	
PITG_04142	ATP-binding Cassette (ABC) Superfamily		protein_coding	NW_003303754.1:1384761-1386853	-	GeneID:9479552	AT3G14142.1	ATP-binding Cassette (ABC) Superfamily	IPR002048;IPR016024				A0A76D3B17	
PITG_04143	ATP-binding Cassette (ABC) Superfamily		protein_coding	NW_003303754.1:1392080-1393167	-	GeneID:9479553	AT4G14143.1	ATP-binding Cassette (ABC) Superfamily	IPR002048;IPR016024				A0A7CE2484	
PITG_04144	uncharacterized protein		protein_coding	NW_003303754.1:1427722-1429406	-	GeneID:9479715	AT5G14144.1		IPR000001;IPR000002					
PITG_04145	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:1450068-1450454	+	GeneID:9479716	AT1G14145.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0AD4271FB	
PITG_04146	ATP-binding Cassette (ABC) Superfamily		protein_coding	NW_003303754.1:1499994-1504857	+	GeneID:9479717	AT2G14146.1	ATP-binding Cassette (ABC) Superfamily	IPR002048;IPR016024				A0A527F181	
PITG_04148	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:1531829-1532263	-	GeneID:9479720	AT4G14148.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0AC4FF4A2	
PITG_04149	ATP-binding Cassette (ABC) Superfamily		protein_coding	NW_003303754.1:1538218-1542221	-	GeneID:9479721	AT5G14149.1	ATP-binding Cassette (ABC) Superfamily	IPR002048;IPR016024				A0A8475DBB	
PITG_04150	uncharacterized protein		protein_coding	NW_003303754.1:1542778-1543655	+	GeneID:9479722	AT1G14150.1		IPR000001;IPR000002					
PITG_04152	uncharacterized protein		protein_coding	NW_003303754.1:1563168-1564309	+	GeneID:9479723	AT3G14152.1		IPR000001;IPR000002					
PITG_04153	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:1598776-1599045	-	GeneID:9479724	AT4G14153.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A95B0096	
PITG_04156	uncharacterized protein		protein_coding	NW_003303754.1:1631981-1633978	-	GeneID:9479725	AT2G14156.1		IPR000001;IPR000002					
PITG_04158	glycoside hydrolase, putative		protein_coding	NW_003303754.1:1641977-1642873	-	GeneID:9479726	AT4G14158.1	glycoside hydrolase	IPR001547;IPR017853				A0AE7D6E1E	
PITG_04161	uncharacterized protein		protein_coding	NW_003303754.1:1672697-1673713	-	GeneID:9479727	AT2G14161.1		IPR000001;IPR000002					
PITG_04164	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:1695447-1695806	-	GeneID:9479728	AT5G14164.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A6CA4651	
PITG_04165	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:1704171-1704530	+	GeneID:9479729	AT1G14165.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A0546571	
PITG_04167	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:1733342-1733836	-	GeneID:9479730	AT3G14167.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A6953BB8	
PITG_04169	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:1760654-1761016	-	GeneID:9479731	AT5G14169.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A7BD100B	
PITG_04172	uncharacterized protein		protein_coding	NW_003303754.1:1781148-1781755	-	GeneID:9479733	AT3G14172.1		IPR000001;IPR000002					
PITG_04173	MtN3-like protein		protein_coding	NW_003303754.1:1787227-1787791	-	GeneID:9479734	AT4G14173.1	MtN3-like protein	IPR000001;IPR000002				A0A6DC5D3C	
PITG_04174	uncharacterized protein		protein_coding	NW_003303754.1:1794020-1794715	+	GeneID:9479735	AT5G14174.1		IPR000001;IPR000002					
PITG_04175	uncharacterized protein		protein_coding	NW_003303754.1:1796662-1798564	+	GeneID:9479736	AT1G14175.1		IPR000001;IPR000002					
PITG_04178	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:1818768-1819037	+	GeneID:9479737	AT4G14178.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A1D321B4	
PITG_04179	condensin-2 complex subunit H2, putative		protein_coding	NW_003303754.1:1875316-1877487	+	GeneID:9479739	AT5G14179.1	condensin-2 complex subunit H2	IPR000001;IPR000002				A0A2E5B685	
PITG_04180	uncharacterized protein		protein_coding	NW_003303754.1:1877617-1878791	-	GeneID:9479740	AT1G14180.1		IPR000001;IPR000002					
PITG_04181	uncharacterized protein		protein_coding	NW_003303754.1:1878939-1880693	+	GeneID:9479741	AT2G14181.1		IPR000001;IPR000002					
PITG_04182	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:1901307-1901663	-	GeneID:9479742	AT3G14182.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A5EACEAA	
PITG_04183	uncharacterized protein		protein_coding	NW_003303754.1:1916884-1917676	+	GeneID:9479743	AT4G14183.1		IPR000001;IPR000002					
PITG_04184	uncharacterized protein		protein_coding	NW_003303754.1:1930835-1932685	-	GeneID:9479744	AT5G14184.1		IPR000001;IPR000002					
PITG_04185	histone-lysine N-methyltransferase, putative		protein_coding	NW_003303754.1:1935387-1942515	+	GeneID:9479745	AT1G14185.1	histone-lysine N-methyltransferase	IPR005150;IPR013015				A0A0C08E6C	
PITG_04189	uncharacterized protein		protein_coding	NW_003303754.1:1971098-1972066	-	GeneID:9479747	AT5G14189.1		IPR000001;IPR000002					
PITG_04191	uncharacterized protein		protein_coding	NW_003303754.1:1985178-1985420	+	GeneID:9479748	AT2G14191.1		IPR000001;IPR000002					
PITG_04192	uncharacterized protein		protein_coding	NW_003303754.1:1985743-1987110	+	GeneID:9479749	AT3G14192.1		IPR000001;IPR000002					
PITG_04194	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:2020294-2020617	-	GeneID:9479750	AT5G14194.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0AF254FAC	
PITG_04196	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:2092894-2093316	-	GeneID:9479751	AT2G14196.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A34AFB9C	
PITG_04200	NPP1-like protein		protein_coding	NW_003303754.1:2123344-2124087	+	GeneID:9479752	AT1G14200.1	NPP1-like protein	IPR000001;IPR000002				A0AE9D96A3	
PITG_04201	uncharacterized protein		protein_coding	NW_003303754.1:2137588-2138065	-	GeneID:9479753	AT2G14201.1		IPR000001;IPR000002					
PITG_04202	uncharacterized protein		protein_coding	NW_003303754.1:2146681-2147036	+	GeneID:9479754	AT3G14202.1		IPR000001;IPR000002					
PITG_04203	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:2160272-2160745	+	GeneID:9479755	AT4G14203.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A4BCD719	
PITG_04204	geranylgeranyl transferase type-2 subunit alpha, putative		protein_coding	NW_003303754.1:2160799-2161903	-	GeneID:9479756	AT5G14204.1	geranylgeranyl transferase type-2 subunit alpha	IPR005150;IPR013015	Q965B4	Q965B4		A0AC796922	
PITG_04206	uncharacterized protein		protein_coding	NW_003303754.1:2189733-2190302	-	GeneID:9479757	AT2G14206.1		IPR000001;IPR000002					
PITG_04207	glucosylceramidase, putative		protein_coding	NW_003303754.1:2213265-2214557	+	GeneID:9479758	AT3G14207.1	glucosylceramidase	IPR000001;IPR000002				A0A3212E8A	
PITG_04208	NPP1-like protein		protein_coding	NW_003303754.1:2233196-2233933	-	GeneID:9479759	AT4G14208.1	NPP1-like protein	IPR000001;IPR000002				A0AC222186	
PITG_04209	uncharacterized protein		protein_coding	NW_003303754.1:2235136-2235450	+	GeneID:9479760	AT5G14209.1		IPR000001;IPR000002					
PITG_04211	uncharacterized protein		protein_coding	NW_003303754.1:2243683-2244146	-	GeneID:9479761	AT2G14211.1		IPR000001;IPR000002					
PITG_04213	uncharacterized protein		protein_coding	NW_003303754.1:2262912-2263267	-	GeneID:9479762	AT4G14213.1		IPR000001;IPR000002					
PITG_04214	major Facilitator Superfamily (MFS)-like protein		protein_coding	NW_003303754.1:2284005-2284471	+	GeneID:9479763	AT5G14214.1	major Facilitator Superfamily (MFS)-like protein	IPR000001;IPR000002	Q8A406	Q8A406		A0A9F4651F	
PITG_04215	uncharacterized protein		protein_coding	NW_003303754.1:2286585-2288796	+	GeneID:9479764	AT1G14215.1		IPR000001;IPR000002					
PITG_04217	uncharacterized protein		protein_coding	NW_003303754.1:2324096-2325006	-	GeneID:9479765	AT3G14217.1		IPR000001;IPR000002					
PITG_04222	uncharacterized protein		protein_coding	NW_003303754.1:2348242-2348869	+	GeneID:9479766	AT3G14222.1		IPR000001;IPR000002					
PITG_04224	uncharacterized protein		protein_coding	NW_003303754.1:2355134-2355740	+	GeneID:9479767	AT5G14224.1		IPR000001;IPR000002					
PITG_04225	geranylgeranyl transferase type-2 subunit alpha, putative		protein_coding	NW_003303754.1:2364658-2365878	-	GeneID:9479768	AT1G14225.1	geranylgeranyl transferase type-2 subunit alpha	IPR005150;IPR013015	Q965B4	Q965B4		A0A9EDBDDE	
PITG_04226	geranylgeranyl transferase type-2 subunit alpha, putative		protein_coding	NW_003303754.1:2378752-2379965	-	GeneID:9479769	AT2G14226.1	geranylgeranyl transferase type-2 subunit alpha	IPR005150;IPR013015	Q965B4	Q965B4		A0AEEE47D9	
PITG_04227	uncharacterized protein		protein_coding	NW_003303754.1:2380300-2381216	+	GeneID:9479770	AT3G14227.1		IPR000001;IPR000002					
PITG_04228	uncharacterized protein		protein_coding	NW_003303754.1:2381589-2382368	-	GeneID:9479771	AT4G14228.1		IPR000001;IPR000002					
PITG_04229	uncharacterized protein		protein_coding	NW_003303754.1:2382596-2383306	+	GeneID:9479772	AT5G14229.1		IPR000001;IPR000002					
PITG_04230	uncharacterized protein		protein_coding	NW_003303754.1:2383662-2384631	-	GeneID:9479773	AT1G14230.1		IPR000001;IPR000002					
PITG_04231	uncharacterized protein		protein_coding	NW_003303754.1:2384873-2386120	+	GeneID:9479774	AT2G14231.1		IPR000001;IPR000002					
PITG_04232	uncharacterized protein		protein_coding	NW_003303754.1:2386184-2388100	-	GeneID:9479775	AT3G14232.1		IPR000001;IPR000002					
PITG_04236	uncharacterized protein		protein_coding	NW_003303754.1:2437944-2438691	+	GeneID:9479777	AT2G14236.1		IPR000001;IPR000002					
PITG_04242	phosphatase PTC7 family protein		protein_coding	NW_003303754.1:2469922-2472047	+	GeneID:9479778	AT3G14242.1	phosphatase PTC7 family protein	IPR004843;IPR015655				A0A829E123	
PITG_04243	uncharacterized protein		protein_coding	NW_003303754.1:2472302-2473233	-	GeneID:9479779	AT4G14243.1		IPR000001;IPR000002					
PITG_04244	amino acid/auxin permease-like protein		protein_coding	NW_003303754.1:2474693-2475955	-	GeneID:9479780	AT5G14244.1	amino acid/auxin permease-like protein	IPR000001;IPR000002				A0AE03308A	
PITG_04246	uncharacterized protein		protein_coding	NW_003303754.1:2498304-2499477	+	GeneID:9479781	AT2G14246.1		IPR000001;IPR000002					
PITG_04248	NPP1-like protein		protein_coding	NW_003303754.1:2510079-2510838	-	GeneID:9479782	AT4G14248.1	NPP1-like protein	IPR000001;IPR000002				A0A1A31592	
PITG_04249	uncharacterized protein		protein_coding	NW_003303754.1:2511117-2511819	+	GeneID:9479783	AT5G14249.1		IPR000001;IPR000002					
PITG_04250	ferric reductase, putative		protein_coding	NW_003303754.1:2514193-2516013	+	GeneID:9479784	AT1G14250.1	ferric reductase	IPR000001;IPR000002	Q7B1C9	Q7B1C9		A0A30347C2	
PITG_04254	glucosylceramidase, putative		protein_coding	NW_003303754.1:2563383-2565817	-	GeneID:9479789	AT5G14254.1	glucosylceramidase	IPR000001;IPR000002				A0A9B71308	
PITG_04255	glucosylceramidase, putative		protein_coding	NW_003303754.1:2567958-2569580	-	GeneID:9479790	AT1G14255.1	glucosylceramidase	IPR000001;IPR000002				A0A2ED7057	
PITG_04261	ATP-binding Cassette (ABC) Superfamily		protein_coding	NW_003303754.1:2609037-2611726	+	GeneID:9479791	AT2G14261.1	ATP-binding Cassette (ABC) Superfamily	IPR002048;IPR016024				A0A1A7B7F2	
PITG_04262	cysteine protease family C59, putative		protein_coding	NW_003303754.1:2612874-2614346	+	GeneID:9479792	AT3G14262.1	cysteine protease family C59	IPR001563;IPR024079				A0A352FA51	
PITG_04263	serine protease family S33, putative		protein_coding	NW_003303754.1:2614953-2616876	+	GeneID:9479793	AT4G14263.1	serine protease family S33	IPR001563;IPR024079				A0AB455057	
PITG_04264	ferric reductase, putative		protein_coding	NW_003303754.1:2617632-2619396	+	GeneID:9479794	AT5G14264.1	ferric reductase	IPR000001;IPR000002	Q7B1C9	Q7B1C9		A0A442C1C7	
PITG_04265	uncharacterized protein		protein_coding	NW_003303754.1:2627960-2631475	+	GeneID:9479956	AT1G14265.1		IPR000001;IPR000002					
PITG_04266	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:2636024-2636494	+	GeneID:9479957	AT2G14266.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0AA35BB10	
PITG_04267	NPP1-like protein		protein_coding	NW_003303754.1:2637460-2638299	-	GeneID:9479958	AT3G14267.1	NPP1-like protein	IPR000001;IPR000002				A0AD927005	
PITG_04269	RXLR effector family protein, putative		protein_coding	NW_003303754.1:2705488-2709312	+	GeneID:9479959	AT5G14269.1	RXLR effector family protein	IPR000001;IPR000002				A0A575CE78	
PITG_04270	sulfatase-like protein		protein_coding	NW_003303754.1:2710910-2713414	+	GeneID:9479960	AT1G14270.1	sulfatase-like protein	IPR000001;IPR000002				A0A74680B1	
PITG_04271	uncharacterized protein		protein_coding	NW_003303754.1:2715173-2716009	-	GeneID:9479961	AT2G14271.1		IPR000001;IPR000002					
PITG_04272	glycoside hydrolase, putative		protein_coding	NW_003303754.1:2723298-2723850	+	GeneID:9479962	AT3G14272.1	glycoside hydrolase	IPR001547;IPR017853				A0AC77460A	
PITG_04273	endo-1,4-beta-xylanase, putative		protein_coding	NW_003303754.1:2723898-2724536	+	GeneID:9479963	AT4G14273.1	endo-1,4-beta-xylanase	IPR000001;IPR000002				A0A9EE041D	
PITG_04274	sulfatase-like protein		protein_coding	NW_003303754.1:2738595-2742624	+	GeneID:9479964	AT5G14274.1	sulfatase-like protein	IPR000001;IPR000002				A0A8E9EB89	
PITG_04275	sulfatase-like protein		protein_coding	NW_003303754.1:2781745-2784540	-	GeneID:9479965	AT1G14275.1	sulfatase-like protein	IPR000001;IPR000002				A0A55CB566	
PITG_04276	RXLR effector family protein, putative		protein_coding	NW_003303754.1:2828092-2830047	+	GeneID:9479966	AT2G14276.1	RXLR effector family protein	IPR000001;IPR000002				A0A507CFEF	
PITG_04279	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:2879745-2880032	-	GeneID:9479971	AT5G14279.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0AB38B80C	
PITG_04280	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:2881026-2881628	+	GeneID:9479972	AT1G14280.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A570DC1E	
PITG_04281	Cleavage induced conserved protein		protein_coding	NW_003303754.1:2891188-2891619	-	GeneID:9479973	AT2G14281.1	Cleavage induced conserved protein	IPR000001;IPR000002				A0A0BFB9E2	
PITG_04282	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:2892849-2893343	+	GeneID:9479974	AT3G14282.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0AE65F227	
PITG_04283	uncharacterized protein		protein_coding	NW_003303754.1:2898480-2902024	+	GeneID:9479975	AT4G14283.1		IPR000001;IPR000002					
PITG_04284	uncharacterized protein		protein_coding	NW_003303754.1:2902859-2903603	-	GeneID:9479976	AT5G14284.1		IPR000001;IPR000002					
PITG_04286	uncharacterized protein		protein_coding	NW_003303754.1:2935117-2935636	-	GeneID:9479977	AT2G14286.1		IPR000001;IPR000002					
PITG_04288	uncharacterized protein		protein_coding	NW_003303754.1:2995363-2996197	+	GeneID:9479978	AT4G14288.1		IPR000001;IPR000002					
PITG_04289	ATP-binding Cassette (ABC) Superfamily		protein_coding	NW_003303754.1:2998504-3002192	+	GeneID:9479979	AT5G14289.1	ATP-binding Cassette (ABC) Superfamily	IPR002048;IPR016024				A0AD6EAB06	
PITG_04290	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:3011989-3012450	+	GeneID:9479980	AT1G14290.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0AF458264	
PITG_04291	ferric reductase, putative		protein_coding	NW_003303754.1:3053057-3053510	-	GeneID:9479981	AT2G14291.1	ferric reductase	IPR000001;IPR000002	Q7B1C9	Q7B1C9		A0AE07E1E8	
PITG_04292	uncharacterized protein		protein_coding	NW_003303754.1:3054906-3055205	-	GeneID:9479982	AT3G14292.1		IPR000001;IPR000002					
PITG_04293	ATP-binding Cassette (ABC) Superfamily		protein_coding	NW_003303754.1:3055772-3057016	+	GeneID:9479983	AT4G14293.1	ATP-binding Cassette (ABC) Superfamily	IPR002048;IPR016024				A0ACD2EE64	
PITG_04294	12-oxophytodienoate reductase, putative		protein_coding	NW_003303754.1:3058816-3059958	+	GeneID:9479984	AT5G14294.1	12-oxophytodienoate reductase	IPR000001;IPR000002				A0A47F6E5C	
PITG_04295	ATP-binding Cassette (ABC) Superfamily		protein_coding	NW_003303754.1:3060080-3061951	-	GeneID:9479985	AT1G14295.1	ATP-binding Cassette (ABC) Superfamily	IPR002048;IPR016024				A0A487531B	
PITG_04296	ATP-binding Cassette (ABC) Superfamily		protein_coding	NW_003303754.1:3062228-3064123	-	GeneID:9479986	AT2G14296.1	ATP-binding Cassette (ABC) Superfamily	IPR002048;IPR016024				A0A967C071	
PITG_04297	uncharacterized protein		protein_coding	NW_003303754.1:3065986-3068180	-	GeneID:9479987	AT3G14297.1		IPR000001;IPR000002					
PITG_04300	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:3079333-3080010	+	GeneID:9479988	AT1G14300.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0AB0B404E	
PITG_04301	Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family		protein_coding	NW_003303754.1:3087609-3088874	-	GeneID:9479989	AT2G14301.1	Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family	IPR000001;IPR000002				A0A3D2A61A	
PITG_04303	Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family		protein_coding	NW_003303754.1:3123042-3123929	+	GeneID:9479990	AT4G14303.1	Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family	IPR000001;IPR000002				A0A8F226B8	
PITG_04304	uncharacterized protein		protein_coding	NW_003303754.1:3124183-3124509	+	GeneID:9479991	AT5G14304.1		IPR000001;IPR000002					
PITG_04305	uncharacterized protein		protein_coding	NW_003303754.1:3133963-3134950	+	GeneID:9479992	AT1G14305.1		IPR000001;IPR000002					
PITG_04307	ATP-binding Cassette (ABC) Superfamily		protein_coding	NW_003303754.1:3145816-3146730	-	GeneID:9479993	AT3G14307.1	ATP-binding Cassette (ABC) Superfamily	IPR002048;IPR016024				A0A3E3B7F6	
PITG_04309	ATP-binding Cassette (ABC) Superfamily		protein_coding	NW_003303754.1:3151835-3152668	-	GeneID:9479994	AT5G14309.1	ATP-binding Cassette (ABC) Superfamily	IPR002048;IPR016024				A0AEE98900	
PITG_04310	uncharacterized protein		protein_coding	NW_003303754.1:3153942-3154425	-	GeneID:9479995	AT1G14310.1		IPR000001;IPR000002					
PITG_04314	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:3164627-3165091	+	GeneID:9479996	AT5G14314.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A6499693	
PITG_04315	uncharacterized protein		protein_coding	NW_003303754.1:3169608-3170771	-	GeneID:9479997	AT1G14315.1		IPR000001;IPR000002					
PITG_04316	uncharacterized protein		protein_coding	NW_003303754.1:3177339-3177704	-	GeneID:9479998	AT2G14316.1		IPR000001;IPR000002					
PITG_04317	Major Facilitator Superfamily (MFS)		protein_coding	NW_003303754.1:3179349-3180875	+	GeneID:9479999	AT3G14317.1	Major Facilitator Superfamily (MFS)	IPR000001;IPR000002				A0ACDF1779	
PITG_04318	uncharacterized protein		protein_coding	NW_003303754.1:3183125-3184822	+	GeneID:9480000	AT4G14318.1		IPR000001;IPR000002					
PITG_04319	uncharacterized protein		protein_coding	NW_003303754.1:3190123-3190660	-	GeneID:9480001	AT5G14319.1		IPR000001;IPR000002					
PITG_04320	Major Facilitator Superfamily (MFS)		protein_coding	NW_003303754.1:3193179-3194708	-	GeneID:9480002	AT1G14320.1	Major Facilitator Superfamily (MFS)	IPR000001;IPR000002				A0A814624F	
PITG_04321	uncharacterized protein		protein_coding	NW_003303754.1:3198843-3199907	-	GeneID:9480003	AT2G14321.1		IPR000001;IPR000002					
PITG_04324	uncharacterized protein		protein_coding	NW_003303754.1:3212969-3214719	-	GeneID:9480004	AT5G14324.1		IPR000001;IPR000002					
PITG_04325	pectinesterase, putative		protein_coding	NW_003303754.1:3215531-3216583	+	GeneID:9480005	AT1G14325.1	pectinesterase	IPR000001;IPR000002				A0A0F3755D	
PITG_04326	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:3237442-3237849	-	GeneID:9480006	AT2G14326.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0A78E7EB0	
PITG_04328	uncharacterized protein		protein_coding	NW_003303754.1:3247768-3248815	-	GeneID:9480007	AT4G14328.1		IPR000001;IPR000002					
PITG_04329	secreted RxLR effector peptide protein, putative		protein_coding	NW_003303754.1:3249410-3249721	-	GeneID:9480008	AT5G14329.1	secreted RxLR effector peptide protein	IPR001254;IPR015424				A0AAEB7B56	
