GeneID	Product	Note	Gene_Biotype	Location	Strand	Dbxref
PITG_06769	uncharacterized protein		protein_coding	NW_003303749.1:353608-354687	+	GeneID:9463097
PITG_06770	uncharacterized protein		protein_coding	NW_003303749.1:355270-355713	+	GeneID:9463098
PITG_06771	40S ribosomal protein S24, putative		protein_coding	NW_003303749.1:355980-356923	-	GeneID:9463099
PITG_06772	ATP-binding cassette sub-family F member 1		protein_coding	NW_003303749.1:357242-359948	-	GeneID:9463100
PITG_06773	regulator of chromosome condensation (RCC1), putative		protein_coding	NW_003303749.1:360391-363952	-	GeneID:9463101
PITG_06774	uncharacterized protein		protein_coding	NW_003303749.1:364155-364608	+	GeneID:9463102
PITG_06775	uncharacterized protein		protein_coding	NW_003303749.1:364663-365060	+	GeneID:9463103
PITG_06776	RAC family serine/threonine-protein kinase		protein_coding	NW_003303749.1:365170-367886	-	GeneID:9463104
PITG_06777	uncharacterized protein		protein_coding	NW_003303749.1:368274-369194	+	GeneID:9463105
PITG_06778	clusterin-associated protein 1		protein_coding	NW_003303749.1:369324-370709	+	GeneID:9463106
PITG_06779	uncharacterized protein		protein_coding	NW_003303749.1:371146-372234	+	GeneID:9463107
PITG_06780	uncharacterized protein		protein_coding	NW_003303749.1:374917-376669	+	GeneID:9463108
PITG_06781	uncharacterized protein		protein_coding	NW_003303749.1:376780-377638	-	GeneID:9463109
PITG_06782	serine protease family S33, putative		protein_coding	NW_003303749.1:377765-384748	-	GeneID:9463110
PITG_06783	quinolinate synthetase A protein, putative		protein_coding	NW_003303749.1:488901-490630	+	GeneID:9463365
PITG_06785	uncharacterized protein		protein_coding	NW_003303749.1:494037-494588	-	GeneID:9463366
PITG_06788	exoglucanase 1 precursor		protein_coding	NW_003303749.1:513930-515504	+	GeneID:9463367
PITG_06790	Ufm1-conjugating enzyme 1		protein_coding	NW_003303749.1:528216-528783	+	GeneID:9463368
PITG_06791	uncharacterized protein		protein_coding	NW_003303749.1:528811-530252	-	GeneID:9463369
PITG_06792	uncharacterized protein		protein_coding	NW_003303749.1:530894-535135	-	GeneID:9463370
PITG_06793	uncharacterized protein		protein_coding	NW_003303749.1:535290-536207	+	GeneID:9463371
PITG_06794	putative methyltransferase METT10D		protein_coding	NW_003303749.1:536320-538042	-	GeneID:9463372
PITG_06795	cell division cycle protein 48		protein_coding	NW_003303749.1:538141-540424	-	GeneID:9463373
PITG_06796	uncharacterized protein		protein_coding	NW_003303749.1:540850-542143	+	GeneID:9463374
PITG_06797	uncharacterized protein		protein_coding	NW_003303749.1:542771-545593	-	GeneID:9463375
PITG_06798	uncharacterized protein		protein_coding	NW_003303749.1:547508-547748	+	GeneID:9463376
PITG_06799	ribosomal protein L27		protein_coding	NW_003303749.1:548260-549044	-	GeneID:9463377
PITG_06800	uncharacterized protein		protein_coding	NW_003303749.1:549292-551688	+	GeneID:9463378
PITG_06801	uncharacterized protein		protein_coding	NW_003303749.1:553076-553926	+	GeneID:9463379
PITG_06802	uncharacterized protein		protein_coding	NW_003303749.1:555046-556444	+	GeneID:9463380
PITG_06803	uncharacterized protein		protein_coding	NW_003303749.1:556704-559491	-	GeneID:9463381
PITG_06804	uncharacterized protein		protein_coding	NW_003303749.1:559667-576007	+	GeneID:9463382
PITG_06805	carbohydrate-binding protein, putative		protein_coding	NW_003303749.1:589595-590707	+	GeneID:9463384
PITG_06806	uncharacterized protein		protein_coding	NW_003303749.1:597828-598151	+	GeneID:9463385
PITG_06808	trehalase, putative		protein_coding	NW_003303749.1:623600-625570	-	GeneID:9463386
PITG_06809	protein kinase		protein_coding	NW_003303749.1:626736-627746	-	GeneID:9463387
PITG_06810	uncharacterized protein		protein_coding	NW_003303749.1:628135-629096	+	GeneID:9463388
PITG_06813	uncharacterized protein		protein_coding	NW_003303749.1:647709-648640	+	GeneID:9463389
PITG_06814	tyrosine phosphatase, putative		protein_coding	NW_003303749.1:648781-651057	+	GeneID:9463390
PITG_06815	NADH dehydrogenase flavoprotein 1, mitochondrial precursor		protein_coding	NW_003303749.1:649617-651495	-	GeneID:9463391
PITG_06816	uncharacterized protein		protein_coding	NW_003303749.1:651975-653053	+	GeneID:9463392
PITG_06817	inactive ubiquitin carboxyl-terminal hydrolase, putative		protein_coding	NW_003303749.1:653173-655515	-	GeneID:9463393
PITG_06818	uncharacterized protein		protein_coding	NW_003303749.1:656377-657922	-	GeneID:9463394
PITG_06819	transcription elongation factor, putative		protein_coding	NW_003303749.1:658232-659669	+	GeneID:9463395
PITG_06820	trehalase, putative		protein_coding	NW_003303749.1:660285-662387	+	GeneID:9463396
PITG_06821	eukaryotic initiation factor 4E, putative		protein_coding	NW_003303749.1:662454-664450	-	GeneID:9463397
PITG_06822	sulfatase-like protein		protein_coding	NW_003303749.1:687283-690424	+	GeneID:9463398
PITG_06823	uncharacterized protein		protein_coding	NW_003303749.1:690508-691404	-	GeneID:9463399
PITG_06824	uncharacterized protein		protein_coding	NW_003303749.1:715491-716142	-	GeneID:9463400
PITG_06826	uncharacterized protein		protein_coding	NW_003303749.1:726216-726617	-	GeneID:9463401
PITG_06827	DEAD/DEAH box RNA helicase, putative		protein_coding	NW_003303749.1:726915-728960	-	GeneID:9463402
PITG_06828	trehalose-phosphatase, putative		protein_coding	NW_003303749.1:729222-732743	+	GeneID:9463403
PITG_06829	uncharacterized protein		protein_coding	NW_003303749.1:733002-742346	+	GeneID:9463404
PITG_06830	ubiquitin-conjugating enzyme E2, putative		protein_coding	NW_003303749.1:817740-818573	-	GeneID:9463405
PITG_06831	uncharacterized protein		protein_coding	NW_003303749.1:818788-821130	+	GeneID:9463406
PITG_06832	ubiquitin-specific protease, putative		protein_coding	NW_003303749.1:821255-827012	-	GeneID:9463407
PITG_06833	uncharacterized protein		protein_coding	NW_003303749.1:829577-832863	-	GeneID:9463408
PITG_06834	folate-Biopterin Transporter (FBT) family		protein_coding	NW_003303749.1:833132-834874	+	GeneID:9463409
PITG_06835	protein phosphatase 2C, putative		protein_coding	NW_003303749.1:835074-836671	-	GeneID:9463410
PITG_06836	uncharacterized protein		protein_coding	NW_003303749.1:837571-838339	+	GeneID:9463411
PITG_06837	uncharacterized protein		protein_coding	NW_003303749.1:838634-839400	+	GeneID:9463412
PITG_06838	uncharacterized protein		protein_coding	NW_003303749.1:841582-841911	-	GeneID:9463413
PITG_06839	uncharacterized protein		protein_coding	NW_003303749.1:842269-842705	+	GeneID:9463414
PITG_06840	uncharacterized protein		protein_coding	NW_003303749.1:843111-843515	+	GeneID:9463415
PITG_06841	uncharacterized protein		protein_coding	NW_003303749.1:843638-846062	-	GeneID:9463416
PITG_06843	uncharacterized protein		protein_coding	NW_003303749.1:877589-878321	-	GeneID:9463418
PITG_06844	uncharacterized protein		protein_coding	NW_003303749.1:879987-881389	-	GeneID:9463419
PITG_06845	riboflavin kinase		protein_coding	NW_003303749.1:883099-883699	+	GeneID:9463420
PITG_06846	Drug/Metabolite Transporter (DMT) Superfamily		protein_coding	NW_003303749.1:883845-884753	-	GeneID:9463421
PITG_06847	uncharacterized protein		protein_coding	NW_003303749.1:885060-887291	+	GeneID:9463422
PITG_06848	ribosomal RNA methyltransferase, putative		protein_coding	NW_003303749.1:887324-888222	-	GeneID:9463423
PITG_06849	uncharacterized protein		protein_coding	NW_003303749.1:888293-889920	+	GeneID:9463424
PITG_06850	uncharacterized protein		protein_coding	NW_003303749.1:890097-891367	-	GeneID:9463425
PITG_06851	uncharacterized protein		protein_coding	NW_003303749.1:892117-893177	+	GeneID:9463426
PITG_06852	ATP-binding Cassette (ABC) Superfamily		protein_coding	NW_003303749.1:893674-895591	-	GeneID:9463427
PITG_06853	uncharacterized protein		protein_coding	NW_003303749.1:895848-897827	+	GeneID:9463428
PITG_06854	uncharacterized protein		protein_coding	NW_003303749.1:898509-899128	+	GeneID:9463429
PITG_06855	inorganic phosphate transporter, putative		protein_coding	NW_003303749.1:899441-900980	+	GeneID:9463430
PITG_06856	kinesin-like protein		protein_coding	NW_003303749.1:901048-902190	-	GeneID:9463431
PITG_06859	kinesin-like protein		protein_coding	NW_003303749.1:911270-913602	-	GeneID:9463432
PITG_06860	ATP-binding Cassette (ABC) Superfamily		protein_coding	NW_003303749.1:921266-925377	+	GeneID:9463433
PITG_06861	uncharacterized protein		protein_coding	NW_003303749.1:926270-927567	+	GeneID:9463676
PITG_06862	ATP-binding Cassette (ABC) Superfamily		protein_coding	NW_003303749.1:927851-931972	-	GeneID:9463677
PITG_06863	ATP-binding Cassette (ABC) Superfamily		protein_coding	NW_003303749.1:934092-938189	-	GeneID:9463678
PITG_06864	cytosolic endo-beta-N-acetylglucosaminidase, putative		protein_coding	NW_003303749.1:938734-941289	-	GeneID:9463679
PITG_06865	uncharacterized protein		protein_coding	NW_003303749.1:957244-958252	+	GeneID:9463680
PITG_06867	uncharacterized protein		protein_coding	NW_003303749.1:1003544-1004997	+	GeneID:9463681
PITG_06868	RNA-binding protein, putative		protein_coding	NW_003303749.1:1005099-1006577	-	GeneID:9463682
PITG_06869	uncharacterized protein		protein_coding	NW_003303749.1:1006680-1008475	-	GeneID:9463683
PITG_06870	uncharacterized protein		protein_coding	NW_003303749.1:1011598-1012633	+	GeneID:9463684
PITG_06871	ankyrin-like protein		protein_coding	NW_003303749.1:1015282-1018596	+	GeneID:9463685
PITG_06872	uncharacterized protein		protein_coding	NW_003303749.1:1043130-1044203	-	GeneID:9463686
PITG_06873	aspartyl-tRNA synthetase, putative		protein_coding	NW_003303749.1:1053149-1053902	+	GeneID:9463687
PITG_06874	pyridoxal phosphate phosphatase, putative		protein_coding	NW_003303749.1:1072346-1074775	-	GeneID:9463688
PITG_06876	putative dolichyl-phosphate beta-glucosyltransferase		protein_coding	NW_003303749.1:1077248-1078391	-	GeneID:9463689
PITG_06877	uncharacterized protein		protein_coding	NW_003303749.1:1078501-1081257	-	GeneID:9463690
PITG_06878	uncharacterized protein		protein_coding	NW_003303749.1:1081377-1082440	+	GeneID:9463691
PITG_06879	uncharacterized protein		protein_coding	NW_003303749.1:1082553-1083338	+	GeneID:9463692
PITG_06880	mitogen-activated protein kinase kinase kinase, putative		protein_coding	NW_003303749.1:1083387-1084682	-	GeneID:9463693
PITG_06881	uncharacterized protein		protein_coding	NW_003303749.1:1085920-1089023	-	GeneID:9463694
PITG_06884	uncharacterized protein		protein_coding	NW_003303749.1:1111528-1112588	-	GeneID:9463695
PITG_06885	membrane-bound transcription factor site-1 protease, putative		protein_coding	NW_003303749.1:1112709-1115770	+	GeneID:9463696
PITG_06886	uncharacterized protein		protein_coding	NW_003303749.1:1115837-1116768	+	GeneID:9463697
PITG_06887	myosin-like protein		protein_coding	NW_003303749.1:1117095-1118272	-	GeneID:9463698
PITG_06888	uncharacterized protein		protein_coding	NW_003303749.1:1118959-1119953	+	GeneID:9463699
PITG_06889	peptidase, putative		protein_coding	NW_003303749.1:1120430-1122678	+	GeneID:9463700
PITG_06890	peptidase, putative		protein_coding	NW_003303749.1:1122761-1124341	+	GeneID:9463701
PITG_06891	S-formylglutathione hydrolase, putative		protein_coding	NW_003303749.1:1124385-1125295	+	GeneID:9463702
PITG_06892	uncharacterized protein		protein_coding	NW_003303749.1:1125447-1127787	-	GeneID:9463703
PITG_06893	uncharacterized protein		protein_coding	NW_003303749.1:1128166-1130304	+	GeneID:9463704
PITG_06894	O-sialoglycoprotein endopeptidase, putative		protein_coding	NW_003303749.1:1130441-1132180	-	GeneID:9463705
PITG_06895	uncharacterized protein		protein_coding	NW_003303749.1:1132337-1134159	+	GeneID:9463706
PITG_06896	proline iminopeptidase		protein_coding	NW_003303749.1:1134298-1135489	+	GeneID:9463707
PITG_06897	uncharacterized protein		protein_coding	NW_003303749.1:1135823-1137791	-	GeneID:9463708
PITG_06898	uncharacterized protein		protein_coding	NW_003303749.1:1159385-1162838	+	GeneID:9463709
PITG_06899	uncharacterized protein		protein_coding	NW_003303749.1:1163128-1165870	-	GeneID:9463710
PITG_06900	beta-secretase, putative		protein_coding	NW_003303749.1:1166048-1168707	-	GeneID:9463711
PITG_06901	uncharacterized protein		protein_coding	NW_003303749.1:1170455-1171279	+	GeneID:9463712
PITG_06902	uncharacterized protein		protein_coding	NW_003303749.1:1171452-1178180	-	GeneID:9463713
PITG_06903	uncharacterized protein		protein_coding	NW_003303749.1:1178404-1181373	+	GeneID:9463714
PITG_06904	uncharacterized protein		protein_coding	NW_003303749.1:1181569-1182453	+	GeneID:9463715
PITG_06905	uncharacterized protein		protein_coding	NW_003303749.1:1182573-1183856	+	GeneID:9463716
PITG_06906	uncharacterized protein		protein_coding	NW_003303749.1:1183860-1185947	-	GeneID:9463717
PITG_06907	regulator of chromosome condensation (RCC1)-like protein		protein_coding	NW_003303749.1:1187969-1189649	+	GeneID:9463718
PITG_06908	elicitin-like protein		protein_coding	NW_003303749.1:1189757-1190278	-	GeneID:9463719
PITG_06909	uncharacterized protein		protein_coding	NW_003303749.1:1190401-1191246	-	GeneID:9463720
PITG_06910	Mitochondrial Carrier (MC) Family		protein_coding	NW_003303749.1:1191516-1192571	-	GeneID:9463721
PITG_06911	translation initiation factor IF-2, putative		protein_coding	NW_003303749.1:1192737-1194708	+	GeneID:9463722
PITG_06912	Amino Acid/Auxin Permease (AAAP) Family		protein_coding	NW_003303749.1:1197135-1198627	+	GeneID:9463723
PITG_06913	uncharacterized protein		protein_coding	NW_003303749.1:1198804-1204208	+	GeneID:9463724
PITG_06914	uncharacterized protein		protein_coding	NW_003303749.1:1204278-1205249	-	GeneID:9463725
PITG_06915	flagella associated protein		protein_coding	NW_003303749.1:1205392-1207010	+	GeneID:9463726
PITG_06916	uncharacterized protein		protein_coding	NW_003303749.1:1207050-1211046	-	GeneID:9463727
PITG_06917	Phosphatidylinositol-3-phosphate5- kinase (Fab-like; PIPK-A1)		protein_coding	NW_003303749.1:1211106-1217034	-	GeneID:9463728
PITG_06918	uncharacterized protein		protein_coding	NW_003303749.1:1217505-1217957	-	GeneID:9463729
PITG_06919	uncharacterized protein		protein_coding	NW_003303749.1:1220360-1221638	+	GeneID:9463730
PITG_06920	SEC1 family transporter SLY1		protein_coding	NW_003303749.1:1221936-1223823	+	GeneID:9463731
PITG_06921	uncharacterized protein		protein_coding	NW_003303749.1:1223855-1224319	+	GeneID:9463732
PITG_06922	uncharacterized protein		protein_coding	NW_003303749.1:1225099-1225749	+	GeneID:9463733
PITG_06923	uncharacterized protein		protein_coding	NW_003303749.1:1226182-1228145	-	GeneID:9463734
PITG_06924	uncharacterized protein		protein_coding	NW_003303749.1:1228296-1232128	+	GeneID:9463735
PITG_06925	protein kinase, putative		protein_coding	NW_003303749.1:1232394-1234567	+	GeneID:9463736
PITG_06926	cysteine protease family C01A, putative		protein_coding	NW_003303749.1:1235430-1236674	-	GeneID:9463737
PITG_06927	cysteine protease family C01A, putative		protein_coding	NW_003303749.1:1237457-1238917	-	GeneID:9463738
PITG_06928	cysteine protease family C01A, putative		protein_coding	NW_003303749.1:1239872-1241388	-	GeneID:9463739
PITG_06929	myotubularin-like protein		protein_coding	NW_003303749.1:1270896-1274588	+	GeneID:9463740
PITG_06930	FtsJ methyltransferase domain-containing protein, putative		protein_coding	NW_003303749.1:1274885-1276223	+	GeneID:9463741
PITG_06931	uncharacterized protein		protein_coding	NW_003303749.1:1276516-1277752	-	GeneID:9463742
PITG_06932	uncharacterized protein		protein_coding	NW_003303749.1:1278449-1279021	+	GeneID:9463743
PITG_06933	uncharacterized protein		protein_coding	NW_003303749.1:1279391-1282209	+	GeneID:9463744
PITG_06934	uncharacterized protein		protein_coding	NW_003303749.1:1282761-1285631	-	GeneID:9463745
PITG_06935	HSF-type DNA-binding, putative		protein_coding	NW_003303749.1:1290124-1291746	+	GeneID:9463746
PITG_06936	uncharacterized protein		protein_coding	NW_003303749.1:1291795-1293535	-	GeneID:9463747
PITG_06937	metalloprotease family M48X, putative		protein_coding	NW_003303749.1:1293798-1294700	-	GeneID:9463748
PITG_06938	uncharacterized protein		protein_coding	NW_003303749.1:1295362-1296318	-	GeneID:9463749
PITG_06939	uncharacterized protein		protein_coding	NW_003303749.1:1296530-1297710	+	GeneID:9463750
PITG_06940	uncharacterized protein		protein_coding	NW_003303749.1:1298068-1298940	-	GeneID:9463751
PITG_06941	uncharacterized protein		protein_coding	NW_003303749.1:1300156-1303555	+	GeneID:9463752
PITG_06942	uncharacterized protein		protein_coding	NW_003303749.1:1303770-1304645	-	GeneID:9463753
PITG_06943	uncharacterized protein		protein_coding	NW_003303749.1:1313864-1315510	+	GeneID:9463754
PITG_06944	uncharacterized protein		protein_coding	NW_003303749.1:1316312-1316858	-	GeneID:9463755
PITG_06945	uncharacterized protein		protein_coding	NW_003303749.1:1317330-1320790	+	GeneID:9463756
PITG_06946	uncharacterized protein		protein_coding	NW_003303749.1:1321118-1323247	-	GeneID:9463757
PITG_06947	trimethylguanosine synthase		protein_coding	NW_003303749.1:1324638-1326111	+	GeneID:9463758
PITG_06948	ubiquitin-conjugating enzyme E2, putative		protein_coding	NW_003303749.1:1326193-1326881	-	GeneID:9463759
PITG_06949	Intraflagellar Transport Protein 20		protein_coding	NW_003303749.1:1327015-1327727	+	GeneID:9463760
PITG_06950	histone H3.3		protein_coding	NW_003303749.1:1327764-1328643	-	GeneID:9463761
PITG_06951	uncharacterized protein		protein_coding	NW_003303749.1:1329739-1330291	+	GeneID:9463762
PITG_06952	uncharacterized protein		protein_coding	NW_003303749.1:1330782-1333169	-	GeneID:9463763
PITG_06953	histone H3.3		protein_coding	NW_003303749.1:1333780-1334307	+	GeneID:9463764
PITG_06954	NADPH-cytochrome P450 reductase, putative		protein_coding	NW_003303749.1:1334586-1336824	-	GeneID:9463765
PITG_06955	histone H3.3		protein_coding	NW_003303749.1:1339064-1339629	+	GeneID:9463766
PITG_06957	uncharacterized protein		protein_coding	NW_003303749.1:1363566-1364309	+	GeneID:9463767
PITG_06958	uncharacterized protein		protein_coding	NW_003303749.1:1368197-1369684	+	GeneID:9463768
PITG_06962	endoglucanase, putative		protein_coding	NW_003303749.1:1492379-1494093	+	GeneID:9463769
PITG_06963	cyclin-Y-like protein		protein_coding	NW_003303749.1:1495776-1498638	+	GeneID:9463770
PITG_06964	protein kinase, putative		protein_coding	NW_003303749.1:1498965-1501316	-	GeneID:9463771
PITG_06965	cleavage induced conserved hypothetical protein		protein_coding	NW_003303749.1:1501453-1506051	+	GeneID:9463772
PITG_06966	uncharacterized protein		protein_coding	NW_003303749.1:1506238-1507683	-	GeneID:9463773
PITG_06967	uncharacterized protein		protein_coding	NW_003303749.1:1508899-1510358	-	GeneID:9463774
PITG_06968	uncharacterized protein		protein_coding	NW_003303749.1:1513583-1516033	+	GeneID:9463775
PITG_06969	oxidoreductase, putative		protein_coding	NW_003303749.1:1516050-1517172	-	GeneID:9463776
PITG_06970	uncharacterized protein		protein_coding	NW_003303749.1:1517613-1520652	+	GeneID:9463777
PITG_06972	uncharacterized protein		protein_coding	NW_003303749.1:1537489-1538119	+	GeneID:9463780
PITG_06973	voltage-gated potassium channel subunit beta-1		protein_coding	NW_003303749.1:1538607-1539702	+	GeneID:9463781
PITG_06974	uncharacterized protein		protein_coding	NW_003303749.1:1541747-1542928	-	GeneID:9463782
PITG_06976	uncharacterized protein		protein_coding	NW_003303749.1:1621971-1623343	+	GeneID:9463783
PITG_06977	deoxycytidylate deaminase		protein_coding	NW_003303749.1:1623433-1624768	-	GeneID:9463784
PITG_06978	metalloprotease family M20D, putative		protein_coding	NW_003303749.1:1624864-1626912	-	GeneID:9463785
PITG_06979	aspartate carbamoyltransferase		protein_coding	NW_003303749.1:1627074-1628344	+	GeneID:9463786
PITG_06980	uncharacterized protein		protein_coding	NW_003303749.1:1628378-1629271	-	GeneID:9463787
PITG_06981	DEAD/DEAH box RNA helicase, putative		protein_coding	NW_003303749.1:1629464-1632100	+	GeneID:9463788
PITG_06982	short chain dehydrogenase, putative		protein_coding	NW_003303749.1:1632187-1633500	-	GeneID:9463789
PITG_06983	uncharacterized protein		protein_coding	NW_003303749.1:1633963-1634370	-	GeneID:9463790
PITG_06984	stromal cell-derived factor 2 precursor		protein_coding	NW_003303749.1:1637835-1638791	+	GeneID:9463791
PITG_06985	uncharacterized protein		protein_coding	NW_003303749.1:1639168-1641677	-	GeneID:9463792
PITG_06986	5'-3' exoribonuclease, putative		protein_coding	NW_003303749.1:1641836-1644829	+	GeneID:9463793
PITG_06987	uncharacterized protein		protein_coding	NW_003303749.1:1645046-1645969	+	GeneID:9463794
PITG_06988	uncharacterized protein		protein_coding	NW_003303749.1:1646038-1647208	-	GeneID:9463795
PITG_06989	acyltransferase family		protein_coding	NW_003303749.1:1647254-1648392	-	GeneID:9463796
PITG_06990	uncharacterized protein		protein_coding	NW_003303749.1:1654835-1655412	+	GeneID:9463797
PITG_06991	FHA domain-interacting nucleolar phosphoprotein, putative		protein_coding	NW_003303749.1:1657502-1658242	-	GeneID:9463798
PITG_06992	glucosidase 2 subunit beta, putative		protein_coding	NW_003303749.1:1658484-1661693	+	GeneID:9463799
PITG_06994	phospholipase D, Pi-sPLD-like-7		protein_coding	NW_003303749.1:1668798-1670513	+	GeneID:9463800
PITG_06995	60S ribosomal protein L4		protein_coding	NW_003303749.1:1671155-1672481	+	GeneID:9463801
PITG_06996	uncharacterized protein		protein_coding	NW_003303749.1:1672727-1673533	+	GeneID:9463802
PITG_06997	uncharacterized protein		protein_coding	NW_003303749.1:1674044-1674550	-	GeneID:9463803
PITG_06999	uncharacterized protein		protein_coding	NW_003303749.1:1678845-1679784	+	GeneID:9463804
PITG_07002	uncharacterized protein		protein_coding	NW_003303749.1:1695314-1696518	+	GeneID:9463805
PITG_07004	uncharacterized protein		protein_coding	NW_003303749.1:1698178-1699272	+	GeneID:9463806
PITG_07005	phospholipase D, putative		protein_coding	NW_003303749.1:1699333-1699872	+	GeneID:9463807
PITG_07006	uncharacterized protein		protein_coding	NW_003303749.1:1699900-1701534	-	GeneID:9463808
PITG_07007	uncharacterized protein		protein_coding	NW_003303749.1:1702519-1703544	+	GeneID:9463809
PITG_07008	uncharacterized protein		protein_coding	NW_003303749.1:1703536-1705122	-	GeneID:9463810
PITG_07009	uncharacterized protein		protein_coding	NW_003303749.1:1705291-1706145	-	GeneID:9463811
PITG_07010	uncharacterized protein		protein_coding	NW_003303749.1:1706800-1708026	-	GeneID:9463812
PITG_07011	uncharacterized protein		protein_coding	NW_003303749.1:1708613-1709688	-	GeneID:9463813
PITG_07012	uncharacterized protein		protein_coding	NW_003303749.1:1710090-1713878	-	GeneID:9463814
PITG_07013	uncharacterized protein		protein_coding	NW_003303749.1:1722081-1722618	+	GeneID:9463815
PITG_07014	uncharacterized protein		protein_coding	NW_003303749.1:1722849-1723348	+	GeneID:9463816
PITG_07015	uncharacterized protein		protein_coding	NW_003303749.1:1724378-1725125	+	GeneID:9463817
PITG_07016	Voltage-gated Ion Channel (VIC) Superfamily		protein_coding	NW_003303749.1:1726828-1729495	+	GeneID:9463818
PITG_07017	uncharacterized protein		protein_coding	NW_003303749.1:1729748-1733489	-	GeneID:9463819
PITG_07020	uncharacterized protein		protein_coding	NW_003303749.1:1740579-1741146	-	GeneID:9463820
PITG_07021	uncharacterized protein		protein_coding	NW_003303749.1:1766818-1767937	-	GeneID:9463821
PITG_07022	protein kinase, putative		protein_coding	NW_003303749.1:1768934-1771387	+	GeneID:9463822
PITG_07023	GDP-mannose 4,6 dehydratase		protein_coding	NW_003303749.1:1771449-1772723	-	GeneID:9463823
PITG_07024	inosine-5'-monophosphate dehydrogenase 2		protein_coding	NW_003303749.1:1773119-1774844	+	GeneID:9463824
PITG_07025	uncharacterized protein		protein_coding	NW_003303749.1:1775171-1776576	-	GeneID:9463825
PITG_07026	uncharacterized protein		protein_coding	NW_003303749.1:1776924-1779772	-	GeneID:9463826
PITG_07027	isocitrate lyase		protein_coding	NW_003303749.1:1781855-1783618	+	GeneID:9463827
PITG_07028	peptidyl-prolyl cis-trans isomerase, putative		protein_coding	NW_003303749.1:1783837-1784703	-	GeneID:9463828
PITG_07029	palmitoyl-protein thioesterase 1, putative		protein_coding	NW_003303749.1:1784801-1786215	+	GeneID:9463829
PITG_07030	uncharacterized protein		protein_coding	NW_003303749.1:1786453-1787786	+	GeneID:9463830
PITG_07031	uncharacterized protein		protein_coding	NW_003303749.1:1788505-1790717	+	GeneID:9463831
PITG_07032	uncharacterized protein		protein_coding	NW_003303749.1:1791165-1792481	+	GeneID:9463832
PITG_07033	uncharacterized protein		protein_coding	NW_003303749.1:1792552-1793106	-	GeneID:9463833
PITG_07034	myosin-like protein		protein_coding	NW_003303749.1:1793249-1797459	+	GeneID:9463834
PITG_07035	CDK5 regulatory subunit-associated protein 1		protein_coding	NW_003303749.1:1797534-1799408	-	GeneID:9463835
PITG_07036	ubiquitin activating enzyme, E1 family, putative		protein_coding	NW_003303749.1:1799802-1803252	-	GeneID:9463998
PITG_07037	uncharacterized protein		protein_coding	NW_003303749.1:1803422-1806838	-	GeneID:9463999
PITG_07038	serine/threonine-protein phosphatase ppe1		protein_coding	NW_003303749.1:1806976-1808223	+	GeneID:9464000
PITG_07039	N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase, putative		protein_coding	NW_003303749.1:1808302-1809628	-	GeneID:9464001
PITG_07040	uncharacterized protein		protein_coding	NW_003303749.1:1809721-1811798	-	GeneID:9464002
PITG_07041	uncharacterized protein		protein_coding	NW_003303749.1:1958576-1962076	+	GeneID:9464004
PITG_07042	uncharacterized protein		protein_coding	NW_003303749.1:1961804-1962541	-	GeneID:9464005
PITG_07043	uncharacterized protein		protein_coding	NW_003303749.1:1962631-1962963	+	GeneID:9464006
PITG_07044	uncharacterized protein		protein_coding	NW_003303749.1:1964205-1965020	+	GeneID:9464007
PITG_07045	uncharacterized protein		protein_coding	NW_003303749.1:1965164-1968291	-	GeneID:9464008
PITG_07046	major vault protein		protein_coding	NW_003303749.1:1969134-1971760	-	GeneID:9464009
PITG_07047	THO complex subunit, putative		protein_coding	NW_003303749.1:1972420-1974761	-	GeneID:9464010
PITG_07048	superoxide dismutase, mitochondrial precursor		protein_coding	NW_003303749.1:1975811-1976610	+	GeneID:9464011
PITG_07049	uncharacterized protein		protein_coding	NW_003303749.1:1996618-1998178	+	GeneID:9464012
PITG_07050	uncharacterized protein		protein_coding	NW_003303749.1:2007049-2007742	+	GeneID:9464013
PITG_07051	Poly(A)-specific ribonuclease PARN-like protein		protein_coding	NW_003303749.1:2047208-2048977	-	GeneID:9464014
PITG_07052	uncharacterized protein		protein_coding	NW_003303749.1:2049095-2049537	+	GeneID:9464015
PITG_07053	uncharacterized protein		protein_coding	NW_003303749.1:2049671-2051723	-	GeneID:9464016
PITG_07054	uncharacterized protein		protein_coding	NW_003303749.1:2051884-2052720	+	GeneID:9464017
PITG_07055	ribosomal protein S6 kinase, putative		protein_coding	NW_003303749.1:2053432-2056284	+	GeneID:9464018
PITG_07056	isocitrate dehydrogenase, mitochondrial precursor		protein_coding	NW_003303749.1:2056750-2058221	+	GeneID:9464019
PITG_07057	uncharacterized protein		protein_coding	NW_003303749.1:2072288-2073559	+	GeneID:9464020
PITG_07058	uncharacterized protein		protein_coding	NW_003303749.1:2074494-2075416	+	GeneID:9464021
PITG_07059	MADS-box transcription factor, putative		protein_coding	NW_003303749.1:2075504-2077200	-	GeneID:9464022
PITG_07060	uncharacterized protein		protein_coding	NW_003303749.1:2077940-2078882	-	GeneID:9464023
PITG_07061	ubiquitin-conjugating enzyme E2, putative		protein_coding	NW_003303749.1:2079019-2080273	+	GeneID:9464024
PITG_07062	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B		protein_coding	NW_003303749.1:2080375-2082354	-	GeneID:9464025
